day,time,course_code,room_code
Tuesday,1 8:50 - 9:45,CSE2251,NT05
Tuesday,2 9:45 - 10:40,CSE2257,NT05
Tuesday,3 10:50 - 11:45,FIN1002,NT06
Tuesday,4 11:45 - 12:35,CSE1500,NT06
Tuesday,6 1:25 - 2:20,CSE2258,NT05
Tuesday,7 2:30 - 3:25,CSE2254,LFL03
Wednesday,1 8:50 - 9:45,FIN1002,NT04
Wednesday,2 9:45 - 10:40,CSE2253,NT04
Wednesday,3 10:50 - 11:45,APT4002,NT05
Wednesday,6 1:25 - 2:20,MAT2501,NT06
Thursday,1 8:50 - 9:45,CSE2253,NT06
Thursday,2 9:45 - 10:40,CSE2257,NT06
Thursday,3 10:50 - 11:45,CSE1500,NT04
Thursday,4 11:45 - 12:35,MAT2501,NT06
Friday,1 8:50 - 9:45,CSE2251,NT04
Friday,2 9:45 - 10:40,CSE2258,NT04
Friday,3 10:50 - 11:45,CSE2257,NT05
Friday,4 11:45 - 12:35,MAT2501,NT05
Tuesday,3 10:50 - 11:45,CSE2259,LFL05
Thursday,3 10:50 - 11:45,CSE2254,LFL02
Friday,3 10:50 - 11:45,CSE2252,DSL04
Monday,7 2:30 - 3:25,CSE2252,DSL03
Tuesday,7 2:30 - 3:25,CSE2254,LFL01
Friday,7 2:30 - 3:25,CSE2259,LGL05
Monday,3 10:50 - 11:45,CSE2254,LFL02
Thursday,1 8:50 - 9:45,CSE2252,DSL04
Monday,5 12:35 - 1:25,CSE2254,LFL03
Thursday,7 2:30 - 3:25,CSE2259,LFL05
Friday,5 12:35 - 1:25,CSE2252,DSL03
Wednesday,5 12:35 - 1:25,CSE2252,DSL05
Friday,7 2:30 - 3:25,CSE2254,LFL01
Monday,5 12:35 - 1:25,CSE2254,LFL01
Tuesday,1 8:50 - 9:45,CSE2252,DSL03
Friday,5 12:35 - 1:25,CSE2259,LFL04
Tuesday,5 12:35 - 1:25,CSE2252,DSL03
Friday,1 8:50 - 9:45,CSE2254,LFL01
Monday,1 8:50 - 9:45,CSE2252,DFL05
Tuesday,5 12:35 - 1:25,CSE2254,LFL01
Monday,1 8:50 - 9:45,MAT2501,PF01
Monday,2 9:45 - 10:40,CSE2257,PF01
Monday,3 10:50 - 11:45,FIN1002,PF01
Monday,5 12:35 - 1:25,CSE2252,DFL05
Monday,7 2:30 - 3:25,CSE2253,PF01
